InvoiceNo,Description,Quantity
100029,Apple,3
100029,Salt,1
100029,Cooking Oil,3
100029,Butter,1
100029,Tomato,2
100030,Sugar,2
100030,Soft Drink,2
100030,Tissue Paper,1
100031,Popcorn,1
100031,Tea,1
100031,Detergent,2
100031,Onion,1
100031,Fish,1
100031,Soft Drink,3
100032,Cookies,2
100032,Popcorn,2
100032,Fruit Juice,2
100032,Tea,1
100032,Butter,1
100032,Tomato,1
100033,Onion,1
100033,Chips,1
100033,Yogurt,2
100033,Soft Drink,1
100033,Conditioner,3
100033,Toothbrush,2
100034,Chicken,2
100034,Dishwashing Liquid,1
100034,Onion,3
100034,Jam,2
100034,Coffee,1
100034,Butter,3
100035,Chips,3
100035,Cooking Oil,2
100035,Toothbrush,3
100036,Rice,2
100036,Jam,3
100036,Coffee,2
100036,Grapes,3
100036,Sugar,3
100036,Orange,1
100036,Wheat Flour,3
100037,Orange,2
100037,Milk,3
100037,Rice,3
100037,Dishwashing Liquid,3
100038,Chocolate,3
100038,Fruit Juice,3
100038,Eggs,3
100038,Soap,3
100038,Jam,2
100038,Salt,1
100039,Chips,1
100039,Popcorn,2
100039,Bread,3
100039,Grapes,1
100040,Spices,1
100040,Carrot,3
100040,Rice,3
100040,Dishwashing Liquid,1
100041,Cheese,2
100041,Popcorn,1
100041,Toothpaste,2
100041,Tea,3
100041,Biscuits,3
100041,Sugar,3
100042,Chicken,1
100042,Detergent,3
100042,Spices,2
100042,Cooking Oil,2
100042,Fish,2
100042,Conditioner,1
100043,Shampoo,3
100043,Salt,2
100043,Banana,1
100043,Popcorn,2
100044,Cookies,2
100044,Chocolate,2
100044,Soft Drink,2
100044,Tomato,3
100044,Toothbrush,2
100044,Sugar,2
100045,Carrot,2
100045,Milk,2
100045,Cheese,2
100045,Tissue Paper,3
100045,Bread,3
100045,Wheat Flour,3
100046,Cookies,1
100046,Fruit Juice,3
100046,Bread,3
100046,Rice,1
100046,Cooking Oil,2
100046,Toothbrush,3
100046,Tomato,3
100047,Butter,2
100047,Jam,2
100047,Bread,2
100047,Biscuits,1
100048,Spices,2
100048,Apple,1
100048,Banana,3
100048,Tomato,3
100049,Butter,1
100049,Cookies,1
100049,Cheese,1
100049,Yogurt,3
100050,Chocolate,1
100050,Coffee,3
100050,Apple,3
100050,Soft Drink,3
100050,Sugar,3
100051,Milk,3
100051,Tea,3
100051,Bread,2
100051,Coffee,2
100051,Sugar,3
100052,Chips,3
100052,Popcorn,2
100052,Soft Drink,3
100053,Chicken,3
100053,Spices,3
100053,Potato,2
100053,Butter,1
100053,Toothbrush,2
100054,Banana,3
100054,Toothpaste,2
100054,Shampoo,2
100054,Spices,2
100054,Soft Drink,3
100054,Biscuits,3
100054,Conditioner,2
100055,Carrot,1
100055,Eggs,2
100055,Spices,2
100055,Jam,1
100055,Salt,2
100055,Fish,1
100056,Milk,1
100056,Banana,3
100056,Chicken,2
100056,Onion,2
100056,Chips,3
100056,Tomato,1
100057,Shampoo,1
100057,Salt,2
100057,Soap,1
100058,Detergent,3
100058,Rice,3
100058,Spices,2
100058,Onion,2
100058,Salt,3
100058,Cooking Oil,2
100059,Banana,1
100059,Apple,3
100059,Coffee,2
100059,Chips,2
100059,Biscuits,3
100059,Toothbrush,3
100060,Cookies,1
100060,Toothpaste,3
100060,Chips,3
100060,Biscuits,1
100060,Toothbrush,2
100061,Butter,1
100061,Detergent,3
100061,Shampoo,2
100061,Sugar,2
100062,Shampoo,1
100062,Cheese,2
100062,Soap,2
100063,Cheese,1
100063,Fruit Juice,1
100063,Yogurt,3
100063,Grapes,2
100063,Soft Drink,3
100064,Carrot,3
100064,Chicken,2
100064,Spices,2
100064,Salt,3
100064,Cooking Oil,3
100065,Tea,1
100065,Eggs,1
100065,Cheese,3
100065,Chocolate,1
100066,Orange,1
100066,Chicken,2
100066,Fruit Juice,3
100066,Wheat Flour,2
100067,Cookies,1
100067,Tissue Paper,1
100067,Spices,1
100067,Coffee,1
100067,Chips,2
100067,Soft Drink,3
100068,Dishwashing Liquid,3
100068,Rice,3
100068,Spices,2
100068,Salt,2
100068,Grapes,1
100069,Spices,1
100069,Cooking Oil,3
100069,Chicken,3
100069,Bread,3
100070,Jam,1
100070,Bread,2
100070,Dishwashing Liquid,3
100071,Biscuits,2
100071,Salt,2
100071,Shampoo,2
100071,Cooking Oil,2
100072,Tea,1
100072,Rice,2
100072,Shampoo,2
100072,Jam,2
100072,Butter,1
100072,Tomato,2
100073,Wheat Flour,1
100073,Conditioner,3
100073,Toothbrush,2
100074,Spices,1
100074,Salt,2
100074,Fish,3
100075,Shampoo,1
100075,Salt,3
100075,Sugar,3
100076,Popcorn,3
100076,Fruit Juice,2
100076,Detergent,1
100077,Cookies,1
100077,Banana,2
100077,Soap,3
100077,Spices,1
100077,Soft Drink,2
100077,Orange,1
100078,Cooking Oil,2
100078,Banana,3
100078,Chicken,2
100078,Tomato,3
100079,Tissue Paper,2
100079,Soap,2
100079,Shampoo,1
100079,Salt,3
100079,Toothbrush,1
100079,Tomato,3
100080,Carrot,3
100080,Soap,3
100080,Jam,2
100080,Soft Drink,1
100080,Butter,2
100080,Wheat Flour,1
100081,Toothpaste,3
100081,Eggs,3
100081,Rice,2
100081,Soap,2
100081,Soft Drink,3
100081,Tomato,3
100082,Shampoo,3
100082,Popcorn,1
100082,Fish,2
100082,Orange,1
100083,Tea,1
100083,Biscuits,2
100083,Sugar,1
100084,Dishwashing Liquid,1
100084,Toothpaste,1
100084,Potato,3
100084,Soft Drink,2
100084,Biscuits,3
100084,Orange,3
100085,Cookies,1
100085,Milk,2
100085,Popcorn,2
100085,Tissue Paper,3
100085,Apple,2
100085,Orange,3
100085,Toothbrush,2
100086,Apple,1
100086,Banana,2
100086,Chips,3
100086,Soap,2
100087,Milk,1
100087,Cheese,3
100087,Dishwashing Liquid,2
100087,Rice,1
100087,Shampoo,3
100087,Orange,1
100088,Tea,2
100088,Spices,1
100088,Fish,3
100088,Butter,2
100088,Sugar,3
100089,Chips,3
100089,Wheat Flour,2
100089,Orange,3
100089,Sugar,3
100090,Apple,2
100090,Banana,1
100090,Orange,1
100090,Tomato,1
100091,Spices,2
100091,Milk,2
100091,Rice,3
100091,Toothbrush,3
100092,Potato,3
100092,Apple,1
100092,Banana,2
100093,Bread,1
100093,Spices,1
100093,Yogurt,1
100093,Fish,2
100093,Grapes,2
100093,Butter,1
100093,Wheat Flour,1
100094,Popcorn,3
100094,Tissue Paper,1
100094,Spices,2
100094,Soft Drink,3
100094,Sugar,2
100094,Toothbrush,2
100095,Popcorn,2
100095,Tea,2
100095,Potato,1
100095,Onion,1
100095,Salt,2
100095,Butter,1
100096,Cookies,2
100096,Chocolate,1
100096,Bread,1
100097,Yogurt,3
100097,Chocolate,1
100097,Dishwashing Liquid,2
100097,Tomato,1
100098,Bread,1
100098,Apple,2
100098,Coffee,1
100098,Sugar,3
100099,Cheese,2
100099,Jam,2
100099,Coffee,3
100099,Yogurt,3
100099,Biscuits,1
100099,Wheat Flour,2
100100,Toothpaste,2
100100,Bread,2
100100,Spices,2
100100,Fish,3
100100,Conditioner,1
100101,Shampoo,2
100101,Yogurt,3
100101,Conditioner,1
100102,Chicken,3
100102,Fruit Juice,3
100102,Tissue Paper,2
100102,Jam,1
100102,Yogurt,3
100102,Orange,1
100103,Chocolate,2
100103,Tea,2
100103,Detergent,3
100103,Spices,2
100103,Salt,2
100103,Wheat Flour,1
100104,Tea,3
100104,Eggs,1
100104,Soap,3
100104,Shampoo,3
100104,Potato,3
100105,Cheese,3
100105,Coffee,2
100105,Onion,2
100105,Cooking Oil,1
100105,Tomato,3
100106,Tea,1
100106,Detergent,2
100106,Soap,3
100106,Soft Drink,1
100106,Conditioner,2
100107,Chicken,1
100107,Banana,2
100107,Detergent,3
100107,Fish,2
100108,Milk,1
100108,Rice,3
100108,Soft Drink,3
100108,Tomato,1
100109,Carrot,2
100109,Fruit Juice,3
100109,Toothpaste,2
100109,Eggs,3
100109,Spices,3
100110,Eggs,3
100110,Fish,1
100110,Soft Drink,2
100111,Chocolate,2
100111,Chicken,1
100111,Coffee,2
100111,Salt,3
100111,Cooking Oil,3
100111,Wheat Flour,3
100112,Cheese,1
100112,Rice,2
100112,Shampoo,1
100112,Butter,1
100112,Conditioner,2
100113,Shampoo,1
100113,Coffee,2
100113,Cooking Oil,3
100113,Orange,3
100114,Cookies,2
100114,Detergent,3
100114,Onion,1
100115,Rice,1
100115,Spices,2
100115,Jam,1
100115,Cooking Oil,2
100115,Wheat Flour,1
100116,Spices,2
100116,Potato,1
100116,Fish,1
100117,Eggs,2
100117,Rice,1
100117,Cooking Oil,1
100117,Grapes,3
100117,Tomato,3
100118,Milk,1
100118,Coffee,1
100118,Onion,2
100118,Soft Drink,1
100118,Sugar,1
100119,Spices,1
100119,Cooking Oil,3
100119,Chicken,2
100120,Dishwashing Liquid,2
100120,Tissue Paper,1
100120,Spices,2
100120,Jam,2
100120,Fish,3
100121,Tissue Paper,2
100121,Spices,2
100121,Onion,1
100121,Yogurt,3
100121,Grapes,1
100121,Butter,3
100122,Chicken,3
100122,Dishwashing Liquid,2
100122,Spices,3
100122,Chips,1
100122,Cooking Oil,1
100122,Butter,2
100123,Tea,1
100123,Eggs,3
100123,Biscuits,2
100124,Carrot,3
100124,Chicken,3
100124,Fruit Juice,2
100124,Toothpaste,1
100124,Potato,2
100124,Salt,1
100124,Tomato,3
100125,Carrot,3
100125,Apple,3
100125,Chicken,1
100125,Tomato,2
100126,Chicken,3
100126,Eggs,3
100126,Detergent,3
100126,Rice,3
100126,Grapes,3
100126,Tomato,1
100127,Potato,1
100127,Chips,1
100127,Cooking Oil,1
100127,Biscuits,2
100127,Tomato,1
100128,Carrot,1
100128,Toothpaste,1
100128,Sugar,3
100128,Conditioner,3
100128,Tomato,1
100129,Salt,3
100129,Popcorn,1
100129,Fish,2
100129,Wheat Flour,2
100130,Conditioner,1
100130,Salt,3
100130,Chips,1
100130,Soft Drink,2
100130,Orange,1
100130,Wheat Flour,3
100131,Tea,2
100131,Toothpaste,1
100131,Soap,1
100132,Banana,1
100132,Cooking Oil,2
100132,Conditioner,2
100133,Popcorn,1
100133,Eggs,1
100133,Bread,2
100133,Jam,1
100133,Butter,3
100134,Soap,1
100134,Fish,1
100134,Tomato,2
100134,Orange,1
100134,Sugar,1
100135,Cooking Oil,2
100135,Detergent,1
100135,Chicken,2
100136,Spices,1
100136,Coffee,2
100136,Milk,3
100136,Sugar,3
100137,Bread,3
100137,Jam,2
100137,Cooking Oil,1
100137,Soft Drink,3
100137,Butter,2
100138,Biscuits,3
100138,Eggs,3
100138,Potato,3
100139,Bread,3
100139,Conditioner,2
100139,Soap,2
100140,Banana,1
100140,Popcorn,2
100140,Tea,3
100140,Apple,2
100140,Yogurt,3
100140,Tomato,1
100141,Spices,2
100141,Yogurt,1
100141,Biscuits,1
100141,Soap,1
100142,Rice,2
100142,Soap,1
100142,Chips,3
100142,Grapes,2
100142,Butter,2
100143,Milk,2
100143,Coffee,3
100143,Salt,2
100143,Sugar,2
100143,Tomato,3
100144,Banana,2
100144,Tea,3
100144,Cooking Oil,2
100144,Biscuits,2
100144,Orange,2
100145,Chicken,3
100145,Spices,1
100145,Onion,1
100145,Cooking Oil,3
100145,Butter,3
100146,Spices,1
100146,Cooking Oil,3
100146,Rice,3
100147,Carrot,2
100147,Popcorn,2
100147,Potato,1
100147,Salt,3
100147,Soft Drink,1
100147,Butter,3
100147,Sugar,2
100148,Cooking Oil,3
100148,Salt,1
100148,Rice,2
100149,Toothpaste,3
100149,Coffee,2
100149,Apple,3
100149,Salt,2
100149,Toothbrush,1
100150,Coffee,3
100150,Milk,2
100150,Salt,3
100150,Sugar,2
100151,Fruit Juice,1
100151,Yogurt,1
100151,Grapes,1
100151,Biscuits,1
100151,Conditioner,2
100152,Butter,3
100152,Jam,1
100152,Detergent,1
100152,Bread,2
100153,Spices,1
100153,Salt,2
100153,Rice,3
100153,Dishwashing Liquid,1
100154,Tissue Paper,1
100154,Salt,2
100154,Sugar,3
100154,Toothpaste,1
100155,Cookies,3
100155,Milk,2
100155,Coffee,1
100155,Jam,2
100155,Sugar,1
100156,Detergent,3
100156,Toothbrush,3
100156,Grapes,1
100156,Sugar,3
100157,Chicken,1
100157,Dishwashing Liquid,1
100157,Fruit Juice,1
100157,Tissue Paper,3
100157,Fish,3
100158,Banana,3
100158,Bread,2
100158,Apple,2
100158,Wheat Flour,1
100158,Toothbrush,3
100159,Rice,2
100159,Spices,3
100159,Salt,1
100159,Cooking Oil,2
100159,Wheat Flour,3
100160,Tea,1
100160,Jam,2
100160,Onion,1
100160,Conditioner,2
100160,Sugar,2
100161,Tea,2
100161,Popcorn,3
100161,Fish,3
100161,Orange,2
100162,Shampoo,1
100162,Conditioner,2
100162,Chips,3
100162,Soft Drink,2
100163,Popcorn,2
100163,Cheese,2
100163,Tissue Paper,3
100164,Tea,2
100164,Soap,1
100164,Shampoo,3
100164,Potato,3
100164,Sugar,1
100165,Carrot,1
100165,Banana,1
100165,Potato,2
100165,Salt,2
100165,Fish,2
100165,Orange,3
100166,Potato,1
100166,Chips,1
100166,Conditioner,1
100167,Toothpaste,2
100167,Conditioner,3
100167,Soft Drink,2
100167,Tomato,1
100168,Dishwashing Liquid,2
100168,Rice,1
100168,Spices,2
100168,Salt,2
100168,Conditioner,3
100168,Toothbrush,1
100169,Cookies,2
100169,Cheese,1
100169,Tissue Paper,3
100169,Bread,3
100169,Soap,3
100169,Grapes,3
100169,Wheat Flour,2
100170,Coffee,1
100170,Dishwashing Liquid,2
100170,Popcorn,2
100170,Soft Drink,2
100171,Cheese,2
100171,Chocolate,2
100171,Soap,1
100171,Jam,2
100171,Soft Drink,3
100171,Conditioner,2
100171,Sugar,3
100172,Popcorn,1
100172,Detergent,2
100172,Soap,2
100172,Onion,3
100172,Apple,1
100173,Banana,2
100173,Detergent,2
100173,Shampoo,1
100173,Coffee,2
100173,Conditioner,1
100173,Toothbrush,2
100174,Apple,1
100174,Eggs,3
100174,Salt,2
100174,Soap,3
100175,Tea,3
100175,Banana,3
100175,Popcorn,1
100175,Tissue Paper,3
100176,Tea,3
100176,Cookies,1
100176,Soap,1
100176,Tomato,3
100177,Cheese,3
100177,Fruit Juice,3
100177,Soap,1
100177,Jam,3
100177,Chips,3
100178,Butter,1
100178,Shampoo,2
100178,Orange,3
100178,Wheat Flour,3
100179,Tea,3
100179,Shampoo,2
100179,Toothbrush,2
100179,Sugar,1
100180,Milk,3
100180,Apple,2
100180,Coffee,2
100180,Biscuits,3
100180,Sugar,3
100181,Tea,1
100181,Eggs,2
100181,Rice,2
100181,Chips,1
100181,Soft Drink,1
100181,Conditioner,2
100182,Carrot,2
100182,Dishwashing Liquid,3
100182,Tissue Paper,2
100182,Salt,3
100182,Tomato,1
100183,Cheese,3
100183,Rice,1
100183,Orange,1
100183,Coffee,1
100183,Grapes,2
100183,Conditioner,1
100184,Chicken,3
100184,Chocolate,3
100184,Detergent,1
100184,Spices,3
100184,Wheat Flour,2
100184,Toothbrush,3
100185,Potato,3
100185,Conditioner,3
100185,Cheese,1
100185,Dishwashing Liquid,1
100186,Chocolate,2
100186,Tissue Paper,1
100186,Eggs,3
100186,Jam,2
100186,Salt,2
100187,Dishwashing Liquid,3
100187,Detergent,1
100187,Bread,3
100187,Apple,1
100187,Grapes,1
100188,Cheese,2
100188,Yogurt,1
100188,Cooking Oil,2
100189,Carrot,3
100189,Eggs,2
100189,Toothbrush,1
100189,Wheat Flour,1
100189,Sugar,3
100190,Spices,1
100190,Cooking Oil,2
100190,Salt,2
100190,Rice,3
100191,Cookies,3
100191,Spices,2
100191,Coffee,3
100191,Chips,1
100191,Soft Drink,1
100191,Toothbrush,1
100192,Salt,3
100192,Yogurt,1
100192,Cheese,2
100192,Fruit Juice,2
100193,Cookies,3
100193,Chocolate,3
100193,Orange,2
100193,Sugar,3
100194,Cooking Oil,2
100194,Chicken,2
100194,Grapes,2
100194,Toothpaste,1
100195,Biscuits,2
100195,Detergent,3
100195,Cooking Oil,3
100195,Shampoo,2
100196,Toothpaste,1
100196,Soap,2
100196,Grapes,3
100196,Biscuits,1
100196,Wheat Flour,2
100196,Toothbrush,1
100197,Toothpaste,2
100197,Carrot,1
100197,Detergent,2
100197,Wheat Flour,3
100198,Potato,2
100198,Eggs,2
100198,Chips,3
100198,Toothbrush,3
100199,Spices,2
100199,Cooking Oil,1
100199,Detergent,2
100199,Chicken,2
100200,Milk,3
100200,Cheese,3
100200,Bread,3
100200,Soap,1
100200,Butter,2
100201,Carrot,2
100201,Popcorn,2
100201,Jam,3
100201,Onion,2
100201,Toothbrush,2
100202,Cookies,2
100202,Chocolate,3
100202,Tea,3
100202,Jam,3
100202,Soft Drink,3
100202,Butter,2
100202,Sugar,2
100203,Carrot,2
100203,Popcorn,3
100203,Detergent,3
100203,Soft Drink,3
100203,Tomato,2
100204,Cheese,3
100204,Spices,1
100204,Onion,1
100204,Butter,2
100204,Biscuits,1
100204,Sugar,3
100204,Toothbrush,1
100205,Cheese,3
100205,Chocolate,2
100205,Fruit Juice,1
100205,Spices,1
100205,Yogurt,3
100205,Fish,3
100206,Banana,3
100206,Bread,3
100206,Orange,3
100206,Wheat Flour,2
100207,Toothpaste,2
100207,Tea,2
100207,Chips,2
100207,Soft Drink,1
100207,Biscuits,2
100208,Eggs,2
100208,Rice,2
100208,Spices,2
100208,Salt,3
100208,Cooking Oil,2
100208,Butter,1
100209,Milk,1
100209,Tea,3
100209,Bread,3
100209,Butter,2
100209,Tomato,2
100210,Butter,1
100210,Jam,3
100210,Banana,1
100210,Dishwashing Liquid,3
100211,Carrot,2
100211,Rice,3
100211,Spices,1
100211,Salt,3
100211,Toothbrush,3
100212,Tea,2
100212,Onion,3
100212,Eggs,3
100212,Cookies,3
100213,Spices,2
100213,Salt,3
100213,Shampoo,2
100213,Rice,2
100214,Biscuits,3
100214,Carrot,2
100214,Tissue Paper,1
100215,Carrot,1
100215,Fruit Juice,1
100215,Potato,2
100215,Yogurt,2
100215,Soft Drink,2
100216,Banana,1
100216,Detergent,1
100216,Salt,2
100216,Biscuits,3
100216,Wheat Flour,1
100216,Sugar,3
100217,Carrot,3
100217,Cooking Oil,3
100217,Chicken,1
100217,Orange,3
100218,Banana,1
100218,Fruit Juice,2
100218,Toothpaste,2
100218,Soft Drink,2
100218,Toothbrush,2
100219,Shampoo,2
100219,Apple,1
100219,Fish,1
100219,Soap,2
100220,Milk,2
100220,Cheese,2
100220,Chicken,3
100220,Salt,3
100220,Cooking Oil,1
100220,Butter,2
100221,Popcorn,2
100221,Rice,2
100221,Shampoo,2
100221,Jam,2
100221,Orange,1
100222,Biscuits,3
100222,Detergent,2
100222,Dishwashing Liquid,3
100222,Tissue Paper,1
100223,Shampoo,2
100223,Salt,3
100223,Yogurt,1
100223,Grapes,3
100224,Chicken,3
100224,Tissue Paper,3
100224,Yogurt,3
100224,Cooking Oil,3
100224,Butter,1
100224,Wheat Flour,1
100224,Toothbrush,1
100225,Dishwashing Liquid,1
100225,Rice,1
100225,Onion,2
100225,Cooking Oil,1
100225,Fish,3
100226,Dishwashing Liquid,2
100226,Toothpaste,1
100226,Tissue Paper,2
100226,Rice,1
100226,Salt,2
100226,Conditioner,2
100226,Toothbrush,1
100227,Spices,3
100227,Coffee,2
100227,Grapes,2
100227,Sugar,2
100228,Tea,2
100228,Coffee,3
100228,Yogurt,1
100228,Biscuits,3
100228,Butter,1
100228,Sugar,3
100229,Popcorn,2
100229,Fruit Juice,3
100229,Detergent,1
100229,Spices,1
100229,Biscuits,3
100230,Milk,2
100230,Chocolate,3
100230,Bread,1
100230,Salt,3
100230,Fish,1
100230,Cooking Oil,3
100231,Biscuits,2
100231,Jam,3
100231,Spices,2
100232,Tissue Paper,2
100232,Fish,2
100232,Chicken,2
100232,Toothpaste,3
100233,Biscuits,3
100233,Grapes,1
100233,Tissue Paper,2
100234,Carrot,3
100234,Milk,2
100234,Chicken,2
100234,Coffee,1
100234,Soft Drink,2
100234,Sugar,3
100235,Biscuits,1
100235,Orange,2
100235,Fruit Juice,2
100235,Toothbrush,3
100236,Carrot,3
100236,Milk,2
100236,Cheese,2
100236,Shampoo,3
100236,Conditioner,2
100236,Sugar,2
100237,Cookies,2
100237,Dishwashing Liquid,3
100237,Fruit Juice,3
100237,Butter,2
100237,Orange,3
100238,Banana,1
100238,Chocolate,3
100238,Dishwashing Liquid,3
100238,Potato,1
100238,Salt,2
100238,Butter,1
100238,Conditioner,2
100239,Apple,1
100239,Banana,1
100239,Salt,3
100240,Cooking Oil,3
100240,Onion,1
100240,Fish,1
100240,Tissue Paper,1
100241,Onion,2
100241,Banana,3
100241,Cheese,2
100241,Toothbrush,2
100242,Tea,2
100242,Conditioner,3
100242,Dishwashing Liquid,1
100242,Wheat Flour,3
100243,Banana,2
100243,Rice,1
100243,Jam,3
100243,Soft Drink,1
100243,Wheat Flour,2
100243,Sugar,3
100244,Potato,3
100244,Banana,1
100244,Shampoo,3
100244,Tissue Paper,2
100245,Banana,3
100245,Chocolate,3
100245,Onion,1
100245,Orange,3
100245,Toothbrush,2
100246,Tea,1
100246,Spices,1
100246,Cheese,2
100246,Tomato,2
100247,Butter,3
100247,Milk,2
100247,Banana,2
100247,Grapes,1
100248,Cookies,1
100248,Fruit Juice,2
100248,Tea,1
100248,Eggs,1
100248,Rice,3
100248,Potato,1
100248,Grapes,3
100249,Milk,2
100249,Salt,3
100249,Tomato,1
100250,Shampoo,2
100250,Eggs,2
100250,Tea,2
100250,Soap,1
100251,Carrot,3
100251,Milk,3
100251,Chocolate,2
100251,Fruit Juice,1
100251,Toothpaste,1
100251,Onion,1
100251,Soft Drink,1
100252,Coffee,1
100252,Jam,2
100252,Milk,3
100252,Sugar,1
100253,Popcorn,3
100253,Chicken,3
100253,Grapes,3
100253,Bread,1
100254,Rice,2
100254,Shampoo,3
100254,Coffee,3
100254,Salt,1
100254,Cooking Oil,3
100255,Milk,3
100255,Cheese,1
100255,Yogurt,1
100255,Biscuits,2
100255,Wheat Flour,1
100255,Toothbrush,1
100256,Rice,3
100256,Cheese,3
100256,Cooking Oil,3
100256,Conditioner,3
100257,Chocolate,3
100257,Eggs,2
100257,Rice,3
100257,Yogurt,1
100257,Soft Drink,1
100257,Toothbrush,1
100258,Cheese,1
100258,Eggs,3
100258,Coffee,1
100258,Fish,3
100258,Biscuits,1
100259,Onion,2
100259,Apple,1
100259,Fruit Juice,3
100259,Toothpaste,2
100260,Milk,3
100260,Banana,3
100260,Coffee,3
100260,Yogurt,1
100260,Sugar,2
100261,Fruit Juice,3
100261,Tea,3
100261,Spices,1
100261,Shampoo,1
100261,Potato,1
100261,Coffee,1
100262,Butter,2
100262,Potato,1
100262,Soft Drink,2
100262,Wheat Flour,3
100263,Potato,3
100263,Jam,3
100263,Yogurt,1
100264,Biscuits,2
100264,Rice,2
100264,Toothpaste,2
100265,Milk,3
100265,Dishwashing Liquid,3
100265,Detergent,1
100265,Jam,2
100265,Chips,2
100266,Chips,2
100266,Toothbrush,1
100266,Soft Drink,1
100266,Tissue Paper,3
100267,Carrot,1
100267,Onion,3
100267,Milk,1
100267,Grapes,2
100268,Banana,1
100268,Toothpaste,3
100268,Tea,2
100268,Eggs,1
100268,Shampoo,3
100268,Potato,3
100268,Butter,1
100269,Jam,1
100269,Salt,1
100269,Cooking Oil,1
100269,Orange,1
100269,Sugar,3
100270,Tea,2
100270,Jam,2
100270,Coffee,2
100270,Onion,2
100270,Biscuits,1
100270,Sugar,1
100271,Grapes,1
100271,Chicken,2
100271,Fruit Juice,1
100272,Cheese,1
100272,Popcorn,1
100272,Eggs,2
100272,Rice,2
100272,Grapes,3
100273,Tea,1
100273,Coffee,1
100273,Detergent,1
100274,Eggs,1
100274,Chips,1
100274,Yogurt,3
100274,Tissue Paper,2
100275,Butter,3
100275,Tomato,2
100275,Cheese,3
100275,Sugar,2
100276,Shampoo,1
100276,Onion,2
100276,Cooking Oil,2
100276,Conditioner,2
100277,Soap,1
100277,Fish,2
100277,Soft Drink,2
100277,Orange,1
100277,Wheat Flour,2
100278,Chips,2
100278,Popcorn,3
100278,Soft Drink,2
100278,Toothbrush,2
100279,Carrot,2
100279,Onion,3
100279,Biscuits,1
100279,Conditioner,1
100279,Toothbrush,2
100280,Tissue Paper,1
100280,Cheese,3
100280,Fruit Juice,1
100280,Toothpaste,2
100281,Onion,1
100281,Cheese,1
100281,Dishwashing Liquid,3
100281,Toothbrush,2
100282,Dishwashing Liquid,2
100282,Bread,1
100282,Shampoo,1
100282,Onion,1
100282,Grapes,1
100283,Spices,2
100283,Cooking Oil,3
100283,Chicken,1
100284,Biscuits,1
100284,Cheese,3
100284,Sugar,3
100285,Toothpaste,2
100285,Tea,2
100285,Rice,1
100285,Yogurt,1
100285,Soft Drink,3
100286,Detergent,1
100286,Shampoo,3
100286,Jam,3
100286,Fish,1
100286,Cooking Oil,2
100287,Milk,1
100287,Dishwashing Liquid,3
100287,Grapes,2
